name,latitute,longitute,legend_color
Alleguard - Huntington,39.8821935,-83.0935377,#60D13B
Alleguard - Huntington,30.1104947,-97.3152701,#60D13B
Alleguard - Huntington,34.1075975,-85.3363434,#60D13B
Cellofoam,39.5500485,-86.0797079,#EEC07E
Cellofoam,35.4603711,-94.7874463,#EEC07E
Cellofoam,33.6676103,-84.0176904,#EEC07E
Cellofoam,34.2978794,-83.8240663,#EEC07E
Cellofoam,28.5383832,-81.3789269,#EEC07E
Cellofoam,38.3031837,-77.4605399,#EEC07E
Cellofoam,39.1856597,-78.1633341,#EEC07E
Modern Polymers,35.3789361,-81.3795737,#B1E517
EFP,39.529919,-119.8142691,#15E7ED
EFP,32.9110027,-111.7733902,#15E7ED
EFP,37.9715592,-87.5710898,#15E7ED
EFP,36.0156178,-86.5819394,#15E7ED
EFP,34.6059253,-86.9833417,#15E7ED
EFP,34.2182107,-80.2484056,#15E7ED
Aptco,35.6780104,-119.2292748,#39653D
Tempo Precision Molded Foam,36.3301329,-119.2966367,#FF5D70
ACH Foam Technologies,33.1983388,-96.6389342,#E10E9D
ACH Foam Technologies,39.8366528,-105.0372046,#E10E9D
Atlas Molded Products,34.2994874,-118.4588292,#1D869D
Atlas Molded Products,39.7392358,-104.990251,#1D869D
Atlas Molded Products,40.6668916,-111.8879909,#1D869D
Atlas Molded Products,39.529919,-119.8142691,#1D869D
Atlas Molded Products,35.189443,-114.0530065,#1D869D
Atlas Molded Products,32.735687,-97.1080656,#1D869D
Atlas Molded Products,42.8122508,-85.7228061,#1D869D
Atlas Molded Products,43.7730448,-88.4470508,#1D869D
Atlas Molded Products,37.5597754,-90.2940069,#1D869D
Atlas Molded Products,39.1155314,-94.6267873,#1D869D
Atlas Molded Products,37.7242202,-89.8612196,#1D869D
Atlas Molded Products,41.3014077,-91.6916417,#1D869D
Atlas Molded Products,34.2978794,-83.8240663,#1D869D
Sonoco,36.5768046,-79.8583721,#13FBB4
Sonoco,41.0391283,-83.6502309,#13FBB4
Sonoco,42.9978049,-84.1766358,#13FBB4
Sonoco,35.3620235,-86.2094342,#13FBB4
Sonoco,35.5342414,-87.2069541,#13FBB4
Sonoco,38.2120144,-85.2235666,#13FBB4
Sonoco,38.8338816,-104.8213634,#13FBB4
Cold Keepers,35.6780104,-119.2292748,#1B331B
Styrotech,30.8365815,-83.9787808,#8B8A30
OpCO,45.0941315,-93.3563405,#FE7BEB
Plastillite,40.3211808,-79.3794811,#ABD37D
Houston Foam Plastics,41.2565369,-95.9345034,#7BBE93
Houston Foam Plastics,29.7600771,-95.3701108,#7BBE93
Imperial Foam & Insulation,29.4251905,-98.4945922,#C17D18
Marko Foam,29.2858129,-81.0558894,#5D69B8
Marko Foam,33.6594835,-117.9988026,#5D69B8
Michigan Foam,40.7607793,-111.8910474,#531210
Pal Pac,42.9133602,-85.7053085,#B77FF0
Branch River Plastics,41.0192185,-84.0471666,#DE6496
FMI-EPS,41.9220496,-71.5495101,#F4C262
Polar Central,47.7179578,-116.9515856,#9877AB
Mister Packaging,41.5023192,-72.9787163,#AA54FF
ThermaFoam,33.8365932,-117.9143012,#54C7C9
Robin II,32.0109886,-97.1300061,#9ACDBC
Foam Pack Industries,43.7072047,-88.9901122,#C2E2C6
Clyde Tool & Die,40.7016937,-74.3222146,#4DDC4C
DiversiFoam Products,41.3042201,-82.975192,#A17F07
Beaver Plastics,45.0872861,-93.7415093,#438466
Aqua-Pak Industries Ltd,44.8994088,-97.1150732,#289B3C
Creative Packaging,38.2120144,-85.2235666,#1CFD74
Creative Packaging,39.4863773,-75.0259637,#1CFD74
Creative Packaging,32.2617127,-83.7365798,#1CFD74
Creative Packaging,41.8781136,-87.6297982,#1CFD74
Creative Packaging,32.7554883,-97.3307658,#1CFD74
Custom Pack,33.4483771,-112.0740373,#665858
Insulated Products Corp (IPC),41.5114731,-75.9695465,#2A449F
Magna LoBoy,34.0549076,-118.242643,#422976
Speedling,30.4200708,-86.6170308,#5143D8
Insulfoam LLC,27.678254,-82.4787384,#ED18A7
Insulfoam LLC,47.2528768,-122.4442906,#ED18A7
Insulfoam LLC,61.2175758,-149.8996785,#ED18A7
Insulfoam LLC,47.3830671,-122.234771,#ED18A7
Insulfoam LLC,38.4454641,-121.8232958,#ED18A7
Insulfoam LLC,34.0122346,-117.688944,#ED18A7
Insulfoam LLC,40.7607793,-111.8910474,#ED18A7
Insulfoam LLC,33.4483771,-112.0740373,#ED18A7
Insulfoam LLC,39.7294319,-104.8319195,#ED18A7
Insulfoam LLC,41.2286493,-96.489212,#ED18A7
Insulfoam LLC,28.0394654,-81.9498042,#ED18A7
Alleguard - Huntington,34.9387279,-82.2270568,#60D13B
Alleguard - Huntington,43.1775314,-85.2527987,#60D13B
Alleguard - Huntington,37.1317924,-80.5764477,#60D13B
Alleguard - Huntington,42.2353463,-72.1411642,#60D13B
Alleguard - Huntington,33.6296702,-91.8021856,#60D13B
Armstrong Brands,42.8864468,-78.8783689,#1C30F8
EFP,41.6873832,-85.973517,#15E7ED
Altor Solutions,42.145,-71.652,#942AAE
Altor Solutions,41.0037,-76.4541,#942AAE
Altor Solutions,34.5034,-82.6501,#942AAE
Altor Solutions,34.1176,-83.5724,#942AAE
Altor Solutions,40.3584,-81.4401,#942AAE
Altor Solutions,38.2856,-85.8241,#942AAE
Altor Solutions,35.6145,-88.8139,#942AAE
Altor Solutions,43.7472,-87.9779,#942AAE
Altor Solutions,40.6292,-91.3143,#942AAE
Altor Solutions,37.8762,-94.0184,#942AAE
Altor Solutions,32.9343,-97.251,#942AAE
Altor Solutions,37.6391,-120.9969,#942AAE
Altor Solutions,33.8958,-118.2207,#942AAE
Altor Solutions,38.627,-90.1994,#942AAE
Altor Solutions,20.6786,-100.4226,#942AAE
Altor Solutions,32.5027,-117.0037,#942AAE
Altor Solutions,39.4732,-76.2324,#942AAE
Altor Solutions,34.257,-85.1647,#942AAE
Altor Solutions,42.6987,-71.1351,#942AAE
Altor Solutions,27.7704,-82.6793,#942AAE
Altor Solutions,32.3865,-96.8483,#942AAE
Altor Solutions,34.0039,-118.2302,#942AAE
Altor Solutions,33.6595,-117.9988,#942AAE
